date,access
2011/12/1,22
2011/12/2,16
2011/12/3,11
2011/12/4,20
2011/12/5,19
2011/12/6,7
2011/12/7,9
2011/12/8,7
2011/12/9,8
2011/12/10,5
2011/12/11,3
2011/12/12,7
2011/12/13,10
2011/12/14,5
2011/12/15,12
2011/12/16,21
2011/12/17,2
2011/12/18,5
2011/12/19,7
2011/12/20,5
2011/12/21,8
2011/12/22,5
2011/12/23,5
2011/12/24,0
2011/12/25,2
2011/12/26,5
2011/12/27,1
2011/12/28,4
2011/12/29,1
2011/12/30,4
2011/12/31,2
2012/1/1,2
2012/1/2,3
2012/1/3,2
2012/1/4,3
2012/1/5,9
2012/1/6,13
2012/1/7,0
2012/1/8,1
2012/1/9,3
2012/1/10,10
2012/1/11,13
2012/1/12,13
2012/1/13,9
2012/1/14,7
2012/1/15,2
2012/1/16,4
2012/1/17,2
2012/1/18,1
2012/1/19,5
2012/1/20,3
2012/1/21,59
2012/1/22,46
2012/1/23,11
2012/1/24,5
2012/1/25,3
2012/1/26,11
2012/1/27,9
2012/1/28,8
2012/1/29,10
2012/1/30,7
2012/1/31,13
2012/2/1,7
2012/2/2,9
2012/2/3,5
2012/2/4,5
2012/2/5,9
2012/2/6,5
2012/2/7,10
2012/2/8,12
2012/2/9,23
2012/2/10,16
2012/2/11,58
2012/2/12,19
2012/2/13,27
2012/2/14,13
2012/2/15,13
2012/2/16,19
2012/2/17,14
2012/2/18,9
2012/2/19,10
2012/2/20,11
2012/2/21,15
2012/2/22,11
2012/2/23,15
2012/2/24,17
2012/2/25,7
2012/2/26,11
2012/2/27,15
2012/2/28,13
2012/2/29,5
2012/3/1,20
2012/3/2,19
2012/3/3,14
2012/3/4,8
2012/3/5,10
2012/3/6,20
2012/3/7,14
2012/3/8,22
2012/3/9,30
2012/3/10,21
2012/3/11,20
2012/3/12,17
2012/3/13,8
2012/3/14,15
2012/3/15,17
2012/3/16,10
2012/3/17,11
2012/3/18,8
2012/3/19,9
2012/3/20,9
2012/3/21,18
2012/3/22,18
2012/3/23,17
2012/3/24,8
2012/3/25,9
2012/3/26,12
2012/3/27,23
2012/3/28,27
2012/3/29,16
2012/3/30,16
2012/3/31,7
2012/4/1,16
2012/4/2,17
2012/4/3,13
2012/4/4,30
2012/4/5,25
2012/4/6,13
2012/4/7,10
2012/4/8,8
2012/4/9,20
2012/4/10,22
2012/4/11,12
2012/4/12,18
2012/4/13,20
2012/4/14,18
2012/4/15,12
2012/4/16,13
2012/4/17,17
2012/4/18,19
2012/4/19,16
2012/4/20,21
2012/4/21,8
2012/4/22,13
2012/4/23,21
2012/4/24,191
2012/4/25,92
2012/4/26,44
2012/4/27,51
2012/4/28,25
2012/4/29,19
2012/4/30,23
2012/5/1,40
2012/5/2,31
2012/5/3,19
2012/5/4,21
2012/5/5,21
2012/5/6,17
2012/5/7,27
2012/5/8,36
2012/5/9,17
2012/5/10,39
2012/5/11,18
2012/5/12,17
2012/5/13,12
2012/5/14,26
2012/5/15,33
2012/5/16,27
2012/5/17,39
2012/5/18,26
2012/5/19,21
2012/5/20,22
2012/5/21,33
2012/5/22,22
2012/5/23,30
2012/5/24,16
2012/5/25,26
2012/5/26,21
2012/5/27,15
2012/5/28,22
2012/5/29,18
2012/5/30,23
2012/5/31,21
2012/6/1,28
2012/6/2,36
2012/6/3,20
2012/6/4,46
2012/6/5,50
2012/6/6,47
2012/6/7,36
2012/6/8,19
2012/6/9,20
2012/6/10,25
2012/6/11,33
2012/6/12,30
2012/6/13,29
2012/6/14,35
2012/6/15,38
2012/6/16,19
2012/6/17,15
2012/6/18,54
2012/6/19,56
2012/6/20,48
2012/6/21,111
2012/6/22,55
2012/6/23,47
2012/6/24,21
2012/6/25,40
2012/6/26,46
2012/6/27,52
2012/6/28,57
2012/6/29,53
2012/6/30,45
2012/7/1,33
2012/7/2,61
2012/7/3,63
2012/7/4,46
2012/7/5,53
2012/7/6,41
2012/7/7,17
2012/7/8,26
2012/7/9,47
2012/7/10,40
2012/7/11,44
2012/7/12,51
2012/7/13,62
2012/7/14,36
2012/7/15,36
2012/7/16,46
2012/7/17,46
2012/7/18,49
2012/7/19,37
2012/7/20,48
2012/7/21,30
2012/7/22,42
2012/7/23,66
2012/7/24,87
2012/7/25,50
2012/7/26,48
2012/7/27,37
2012/7/28,28
2012/7/29,24
2012/7/30,39
2012/7/31,60
2012/8/1,44
2012/8/2,62
2012/8/3,45
2012/8/4,37
2012/8/5,24
2012/8/6,45
2012/8/7,71
2012/8/8,54
2012/8/9,84
2012/8/10,55
2012/8/11,33
2012/8/12,31
2012/8/13,48
2012/8/14,55
2012/8/15,58
2012/8/16,99
2012/8/17,122
2012/8/18,45
2012/8/19,73
2012/8/20,98
2012/8/21,66
2012/8/22,77
2012/8/23,61
2012/8/24,86
2012/8/25,59
2012/8/26,32
2012/8/27,77
2012/8/28,76
2012/8/29,66
2012/8/30,58
2012/8/31,71
2012/9/1,32
2012/9/2,35
2012/9/3,53
2012/9/4,89
2012/9/5,85
2012/9/6,95
2012/9/7,72
2012/9/8,73
2012/9/9,52
2012/9/10,81
2012/9/11,103
2012/9/12,105
2012/9/13,86
2012/9/14,103
2012/9/15,45
2012/9/16,59
2012/9/17,45
2012/9/18,88
2012/9/19,85
2012/9/20,58
2012/9/21,78
2012/9/22,55
2012/9/23,38
2012/9/24,64
2012/9/25,114
2012/9/26,120
2012/9/27,101
2012/9/28,77
2012/9/29,57
2012/9/30,53
2012/10/1,82
2012/10/2,76
2012/10/3,84
2012/10/4,84
2012/10/5,92
2012/10/6,50
2012/10/7,46
2012/10/8,65
2012/10/9,102
2012/10/10,109
2012/10/11,117
2012/10/12,76
2012/10/13,49
2012/10/14,40
2012/10/15,98
2012/10/16,106
2012/10/17,118
2012/10/18,114
2012/10/19,98
2012/10/20,65
2012/10/21,52
2012/10/22,114
2012/10/23,122
2012/10/24,109
2012/10/25,114
2012/10/26,98
2012/10/27,49
2012/10/28,48
2012/10/29,118
2012/10/30,134
2012/10/31,115
2012/11/1,147
2012/11/2,149
2012/11/3,51
2012/11/4,65
2012/11/5,253
2012/11/6,172
2012/11/7,149
2012/11/8,152
2012/11/9,148
2012/11/10,72
2012/11/11,96
2012/11/12,135
2012/11/13,154
2012/11/14,146
2012/11/15,165
2012/11/16,144
2012/11/17,63
2012/11/18,84
2012/11/19,151
2012/11/20,152
2012/11/21,149
2012/11/22,125
2012/11/23,81
2012/11/24,75
2012/11/25,59
2012/11/26,160
2012/11/27,144
2012/11/28,154
2012/11/29,158
2012/11/30,211
2012/12/1,96
2012/12/2,86
2012/12/3,151
2012/12/4,172
2012/12/5,182
2012/12/6,188
2012/12/7,125
2012/12/8,73
2012/12/9,104
2012/12/10,179
2012/12/11,169
2012/12/12,177
2012/12/13,145
2012/12/14,180
2012/12/15,93
2012/12/16,109
2012/12/17,185
2012/12/18,210
2012/12/19,191
2012/12/20,486
2012/12/21,477
2012/12/22,182
2012/12/23,146
2012/12/24,146
2012/12/25,242
2012/12/26,242
2012/12/27,230
2012/12/28,197
2012/12/29,134
2012/12/30,132
2012/12/31,123
2013/1/1,113
2013/1/2,111
2013/1/3,137
2013/1/4,200
2013/1/5,133
2013/1/6,151
2013/1/7,221
2013/1/8,226
2013/1/9,224
2013/1/10,258
2013/1/11,223
2013/1/12,124
2013/1/13,123
2013/1/14,189
2013/1/15,235
2013/1/16,229
2013/1/17,311
2013/1/18,271
2013/1/19,155
2013/1/20,178
2013/1/21,457
2013/1/22,744
2013/1/23,414
2013/1/24,315
2013/1/25,327
2013/1/26,184
2013/1/27,178
2013/1/28,259
2013/1/29,296
2013/1/30,301
2013/1/31,348
2013/2/1,311
2013/2/2,218
2013/2/3,192
2013/2/4,338
2013/2/5,340
2013/2/6,303
2013/2/7,326
2013/2/8,259
2013/2/9,235
2013/2/10,223
2013/2/11,221
2013/2/12,290
2013/2/13,355
2013/2/14,349
2013/2/15,335
2013/2/16,237
2013/2/17,251
2013/2/18,355
2013/2/19,278
2013/2/20,243
2013/2/21,294
2013/2/22,278
2013/2/23,162
2013/2/24,165
2013/2/25,260
2013/2/26,291
2013/2/27,259
2013/2/28,304
2013/3/1,299
2013/3/2,180
2013/3/3,187
2013/3/4,258
2013/3/5,278
2013/3/6,381
2013/3/7,499
2013/3/8,361
2013/3/9,202
2013/3/10,152
2013/3/11,307
2013/3/12,372
2013/3/13,361
2013/3/14,367
2013/3/15,329
2013/3/16,212
2013/3/17,202
2013/3/18,327
2013/3/19,305
2013/3/20,345
2013/3/21,429
2013/3/22,332
2013/3/23,222
2013/3/24,246
2013/3/25,468
2013/3/26,436
2013/3/27,374
2013/3/28,343
2013/3/29,329
2013/3/30,198
2013/3/31,272
2013/4/1,354
2013/4/2,384
2013/4/3,420
2013/4/4,402
2013/4/5,333
2013/4/6,245
2013/4/7,260
2013/4/8,370
2013/4/9,356
2013/4/10,377
2013/4/11,480
2013/4/12,402
2013/4/13,264
2013/4/14,236
2013/4/15,405
2013/4/16,909
2013/4/17,599
2013/4/18,419
2013/4/19,392
2013/4/20,230
2013/4/21,246
2013/4/22,401
2013/4/23,431
2013/4/24,425
2013/4/25,509
2013/4/26,455
2013/4/27,"1,746"
2013/4/28,"1,145"
2013/4/29,580
