date,hour,visitors
2013-01-01,0,2
2013-01-01,1,1
2013-01-01,3,1
2013-01-01,7,2
2013-01-01,9,1
2013-01-01,10,3
2013-01-01,11,3
2013-01-01,12,5
2013-01-01,13,2
2013-01-01,15,3
2013-01-01,16,1
2013-01-01,17,3
2013-01-01,18,2
2013-01-01,19,4
2013-01-01,20,5
2013-01-01,21,5
2013-01-01,22,2
2013-01-01,23,4
2013-01-02,0,2
2013-01-02,1,1
2013-01-02,3,2
2013-01-02,6,1
2013-01-02,7,1
2013-01-02,8,1
2013-01-02,9,1
2013-01-02,11,5
2013-01-02,12,3
2013-01-02,13,4
2013-01-02,14,1
2013-01-02,15,1
2013-01-02,16,3
2013-01-02,17,4
2013-01-02,18,5
2013-01-02,19,3
2013-01-02,20,3
2013-01-02,21,4
2013-01-02,22,6
2013-01-02,23,10
2013-01-03,0,5
2013-01-03,1,4
2013-01-03,2,2
2013-01-03,3,2
2013-01-03,5,2
2013-01-03,6,1
2013-01-03,7,1
2013-01-03,8,3
2013-01-03,9,3
2013-01-03,10,1
2013-01-03,11,3
2013-01-03,12,4
2013-01-03,13,5
2013-01-03,14,1
2013-01-03,15,8
2013-01-03,16,5
2013-01-03,17,4
2013-01-03,19,2
2013-01-03,20,5
2013-01-03,21,7
2013-01-03,22,6
2013-01-03,23,3
2013-01-04,0,8
2013-01-04,1,1
2013-01-04,3,1
2013-01-04,4,1
2013-01-04,7,3
2013-01-04,8,3
2013-01-04,9,2
2013-01-04,10,5
2013-01-04,11,6
2013-01-04,12,4
2013-01-04,13,12
2013-01-04,14,6
2013-01-04,15,16
2013-01-04,16,6
2013-01-04,17,2
2013-01-04,18,4
2013-01-04,19,6
2013-01-04,20,5
2013-01-04,21,8
2013-01-04,22,6
2013-01-04,23,7
2013-01-05,0,3
2013-01-05,1,3
2013-01-05,4,2
2013-01-05,7,1
2013-01-05,8,1
2013-01-05,9,7
2013-01-05,10,10
2013-01-05,11,12
2013-01-05,12,7
2013-01-05,13,7
2013-01-05,14,8
2013-01-05,15,9
2013-01-05,16,6
2013-01-05,17,10
2013-01-05,18,4
2013-01-05,19,3
2013-01-05,20,6
2013-01-05,21,8
2013-01-05,22,5
2013-01-05,23,6
2013-01-06,0,5
2013-01-06,1,5
2013-01-06,3,1
2013-01-06,4,2
2013-01-06,6,1
2013-01-06,7,2
2013-01-06,8,4
2013-01-06,9,11
2013-01-06,10,5
2013-01-06,11,13
2013-01-06,12,4
2013-01-06,13,6
2013-01-06,14,9
2013-01-06,15,7
2013-01-06,16,12
2013-01-06,17,7
2013-01-06,18,3
2013-01-06,19,6
2013-01-06,20,8
2013-01-06,21,7
2013-01-06,22,6
