都道府県名,地方自治体コード,指標値(単位:人),信頼性有無
北海道,1000,1108,0
青森県,2000,467,0
岩手県,3000,518,0
宮城県,4000,850,0
秋田県,5000,563,0
山形県,6000,423,0
福島県,7000,952,0
茨城県,8000,1271,0
栃木県,9000,764,0
群馬県,10000,937,0
埼玉県,11000,2936,0
千葉県,12000,1968,0
東京都,13000,3173,0
神奈川県,14000,2058,0
新潟県,15000,1181,0
富山県,16000,396,0
石川県,17000,549,0
福井県,18000,334,0
山梨県,19000,210,0
長野県,20000,703,0
岐阜県,21000,839,0
静岡県,22000,1049,0
愛知県,23000,2732,0
三重県,24000,753,0
滋賀県,25000,562,0
京都府,26000,1381,0
大阪府,27000,2844,0
兵庫県,28000,2042,0
奈良県,29000,573,0
和歌山県,30000,497,0
鳥取県,31000,356,0
島根県,32000,437,0
岡山県,33000,1116,0
広島県,34000,1112,0
山口県,35000,503,0
徳島県,36000,304,0
香川県,37000,489,0
愛媛県,38000,684,0
高知県,39000,363,0
福岡県,40000,1712,0
佐賀県,41000,404,0
長崎県,42000,592,0
熊本県,43000,864,0
大分県,44000,471,0
宮崎県,45000,441,0
鹿児島県,46000,734,0
沖縄県,47000,486,0
