カテゴリID,コンテンツID,名称,区ID,郵便番号,住所,緯度,経度,電話番号,FAX番号,E-MAIL,URL,フリースペース,掲載開始日,掲載終了日,備考,新着フラグ,新着コメント,問い合わせ先,開催日時,カテゴリID,削除フラグ,携帯用URL,携帯用地図縮尺,携帯用地図中心点緯度,携帯用地図中心点経度
14,174,和白小学校,1,811-0203,福岡市東区塩浜一丁目6番1号,33.692754,130.42075,092-606-2061,092-606-2062,,http://www.fuku-c.ed.jp/schoolhp/elwajiro/,,,,,,,,,14,,,,,
14,175,香椎下原小学校,1,813-0002,福岡市東区下原一丁目4番1号,33.669934,130.455179,092-682-3906,092-682-3907,,http://www.fuku-c.ed.jp/schoolhp/elkasisi/,,,,,,,,,14,,,,,
14,176,筥松小学校,1,812-0069,福岡市東区郷口町16番1号,33.615477,130.430122,092-621-1692,092-621-9046,,http://www.fuku-c.ed.jp/schoolhp/elhakoma/,,,,,,,,,14,,,,,
14,177,香住丘小学校,1,813-0003,福岡市東区香住ヶ丘三丁目10番1号,33.672478,130.437901,092-681-3511,092-681-3512,,http://www.fuku-c.ed.jp/schoolhp/elkasumi/,,,,,,,,,14,,,,,
14,178,香椎小学校,1,813-0013,福岡市東区香椎駅前三丁目2番1号,33.66297,130.440685,092-681-7231,092-681-7232,elkasii@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elkasii/,,,,,,,,,14,,,,,
14,179,照葉小学校,1,813-0017,福岡市東区香椎照葉二丁目2番1号,33.668535,130.423189,092-681-1310,092-681-1311,,http://www.fuku-c.ed.jp/schoolhp/elteriha/,,,,,,,,,14,,,,,
14,180,香椎東小学校,1,813-0014,福岡市東区香椎台一丁目9番1号,33.652602,130.456413,092-681-1511,092-681-1557,,http://www.fuku-c.ed.jp/schoolhp/elkasiih/,,,,,,,,,14,,,,,
14,181,千早西小学校,1,813-0016,福岡市東区香椎浜一丁目4番1号,33.651753,130.431157,092-682-1089,092-682-1090,eltihayn@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/eltihayn/,,,,,,,,,14,,,,,
14,182,香陵小学校,1,813-0016,福岡市東区香椎浜四丁目3番2号,33.655942,130.433089,092-682-0022,092-682-0063,elkouryo@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elkouryo/,,,,,,,,,14,,,,,
14,183,香椎浜小学校,1,813-0016,福岡市東区香椎浜二丁目2番2号,33.653137,130.427456,092-672-8511,092-672-8510,,http://www01.fuku-c.ed.jp/schoolhp/elkasham/,,,,,,,,,14,,,,,
14,184,和白東小学校,1,811-0215,福岡市東区高美台二丁目8番1号,33.689308,130.446854,092-607-0621,092-607-2978,,http://www.fuku-c.ed.jp/schoolhp/elwajirh/,,,,,,,,,14,,,,,
14,185,三苫小学校,1,811-0201,福岡市東区三苫七丁目360番地,33.705491,130.420579,092-606-6075,092-606-6058,,http://www.fuku-c.ed.jp/schoolhp/elmitoma/,,,,,,,,,14,,,,,
14,186,若宮小学校,1,813-0036,福岡市東区若宮三丁目12番1号,33.639017,130.446467,092-661-6655,092-661-6916,,http://www.fuku-c.ed.jp/schoolhp/elwakami/,,,,,,,,,14,,,,,
14,187,松島小学校,1,812-0062,福岡市東区松島一丁目39番1号,33.625707,130.435277,092-612-5511,092-612-5512,elmatusi@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elmatusi/,,,,,,,,,14,,,,,
14,188,城浜小学校,1,813-0045,福岡市東区城浜団地31番1号,33.648806,130.422306,092-661-6915,092-661-6961,,http://www.fuku-c.ed.jp/schoolhp/elsiroha/,,,,,,,,,14,,,,,
14,189,西戸崎小学校,1,811-0321,福岡市東区西戸崎六丁目3番1号,33.652476,130.350616,092-603-0046,092-603-0208,,http://www.fuku-c.ed.jp/schoolhp/elsaito/,,,,,,,,,14
14,190,青葉小学校,1,813-0025,福岡市東区青葉三丁目9番1号,33.64561,130.462844,092-691-2301,092-691-2302,,http://www.fuku-c.ed.jp/schoolhp/elaoba/,,,,,,,,,14
14,191,千早小学校,1,813-0044,福岡市東区千早三丁目13番1号,33.65253,130.437412,092-681-0831,092-681-0832,eltihaya@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/eltihaya/,,,,,,,,,14
14,192,多々良小学校,1,813-0033,福岡市東区多々良一丁目56番1号,33.630781,130.457872,092-691-3361,092-691-3362,,http://www.fuku-c.ed.jp/schoolhp/eltatara/,,,,,,,,,14
14,193,志賀島小学校,1,811-0323,福岡市東区大字志賀島1566番地の1,33.661764,130.307851,092-603-6506,092-603-6541,sikasima_school@yahoo.co.jp,http://www.fuku-c.ed.jp/schoolhp/elsikasi/,,,,,,,,,14
14,194,勝馬小学校,1,811-0325,福岡市東区大字勝馬1786番地,33.686327,130.291371,092-603-6615,092-603-6920,,http://www.fuku-c.ed.jp/schoolhp/elkatuma/,,,,,,,,,14
14,195,奈多小学校,1,811-0205,福岡市東区奈多団地40番1号,33.684854,130.41279,092-607-7177,092-607-7178,,http://www.fuku-c.ed.jp/schoolhp/elnata/,,,,,,,,,14
14,196,馬出小学校,1,812-0054,福岡市東区馬出一丁目12番27号,33.60941,130.420557,092-641-6588,092-641-6589,elmaidas@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elmaidas/,,,,,,,,,14
14,197,東箱崎小学校,1,812-0053,福岡市東区箱崎五丁目11番20号,33.628798,130.420364,092-641-9351,092-641-9352,,http://www.fuku-c.ed.jp/schoolhp/elhhakoz/,,,,,,,,,14
14,198,箱崎小学校,1,812-0053,福岡市東区箱崎二丁目2番45号,33.616938,130.419883,092-651-3190,092-651-3766,elhakoza@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elhakoza/,,,,,,,,,14
14,199,八田小学校,1,813-0031,福岡市東区八田二丁目15番1号,33.637052,130.45754,092-671-4080,092-671-4085,murase.t02@city.fukuoka.lg.jp,http://www.fuku-c.ed.jp/schoolhp/elhatta/,,,,,,,,,14
14,200,美和台小学校,1,811-0212,福岡市東区美和台二丁目25番1号,33.700681,130.427574,092-606-4755,092-606-4789,elmiwada@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elmiwada/,,,,,,,,,14
14,201,舞松原小学校,1,813-0042,福岡市東区舞松原五丁目19番1号,33.644322,130.452218,092-671-6171,092-671-6242,elmaimat@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elmaimat/,,,,,,,,,14
14,202,名島小学校,1,813-0043,福岡市東区名島五丁目5番1号,33.640348,130.435052,092-681-3366,092-681-3367,elnajima@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elnajima/,,,,,,,,,14
14,203,吉塚小学校,2,812-0041,福岡市博多区吉塚二丁目21番54号,33.602083,130.427971,092-611-0938,092-611-0939,elyosizu@school.fuku-c.ed.jp,http://www.fuku-c.ed.jp/schoolhp/elyosizu/,,,,,,,,,14
14,204,東吉塚小学校,2,812-0041,福岡市博多区吉塚六丁目8番11号,33.606873,130.428175,092-611-7671,092-611-7687,,http://www.fuku-c.ed.jp/schoolhp/elhyosiz/,,,,,,,,,14
