estate_address,city,rent,completion,room,room_size,structure
群馬県前橋市元総社町,前橋市,25000,1967-11-1,1R,20.96,SRC(鉄骨鉄筋コンクリート)
群馬県高崎市東中里町,高崎市,26500,1969-3-1,1R,25,木造
群馬県高崎市東中里町,高崎市,26500,1969-3-1,1R,25,木造
群馬県高崎市東中里町,高崎市,26500,1969-3-1,1R,25,木造
群馬県高崎市上並榎町,高崎市,40000,1969-9-1,3DK,58.19,木造
群馬県前橋市朝日町4丁目,前橋市,45000,1970-10-1,1K,30,鉄骨造
群馬県前橋市朝日町4丁目,前橋市,48000,1970-10-1,1K,30,鉄骨造
群馬県桐生市広沢町3丁目,桐生市,39000,1971-3-1,1LDK,41.83,RC(鉄筋コンクリート造)
群馬県桐生市広沢町3丁目,桐生市,39000,1971-3-1,1LDK,42,RC(鉄筋コンクリート造)
群馬県桐生市広沢町3丁目,桐生市,38000,1971-3-1,1LDK,42,RC(鉄筋コンクリート造)
群馬県桐生市広沢町3丁目,桐生市,38000,1971-3-1,1LDK,41.83,RC(鉄筋コンクリート造)
群馬県桐生市広沢町3丁目,桐生市,40000,1971-3-1,1LDK,41.83,RC(鉄筋コンクリート造)
栃木県足利市上渋垂町,足利市,29000,1972-1-1,2K,34.02,木造
群馬県前橋市城東町5丁目,前橋市,40000,1972-8-1,3K,52.46,鉄筋ブロック
群馬県高崎市上並榎町,高崎市,55000,1973-1-1,2LDK,48.6,木造
群馬県高崎市台町,高崎市,45000,1973-3-1,5DK,81.98,木造
群馬県高崎市並榎町,高崎市,50000,1973-5-1,5DK,106.92,木造
群馬県太田市飯塚町,太田市,45000,1973-6-1,3DK,49.69,木造
栃木県足利市鹿島町,足利市,30000,1974-1-1,2K,33,SRC(鉄骨鉄筋コンクリート)
群馬県伊勢崎市今井町,伊勢崎市,40000,1974-1-1,3DK,48,木造
群馬県高崎市八千代町1丁目,高崎市,38000,1974-3-1,3DK,49.58,鉄骨造
群馬県高崎市八千代町1丁目,高崎市,38000,1974-3-1,3DK,49.58,鉄骨造
