date,hour,visitors
20130310,0,5
20130310,1,4
20130310,2,5
20130310,3,8
20130310,4,1
20130310,5,2
20130310,7,2
20130310,8,5
20130310,9,7
20130310,10,6
20130310,11,13
20130310,12,3
20130310,13,10
20130310,14,10
20130310,15,5
20130310,16,9
20130310,17,7
20130310,18,3
20130310,19,10
20130310,20,8
20130310,21,7
20130310,22,15
20130310,23,7
20130309,0,8
20130309,1,13
20130309,2,14
20130309,3,7
20130309,4,2
20130309,5,3
20130309,6,3
20130309,7,1
20130309,8,5
20130309,9,16
20130309,10,8
20130309,11,15
20130309,12,7
20130309,13,8
20130309,14,5
20130309,15,12
20130309,16,10
20130309,17,14
20130309,18,9
20130309,19,8
20130309,20,5
20130309,21,13
20130309,22,6
20130309,23,10
20130308,0,29
20130308,1,29
20130308,2,12
20130308,3,4
20130308,4,4
20130308,5,4
20130308,6,6
20130308,7,15
20130308,8,16
20130308,9,21
20130308,10,22
20130308,11,20
20130308,12,16
20130308,13,17
20130308,14,12
20130308,15,17
20130308,16,18
20130308,17,21
20130308,18,9
20130308,19,16
20130308,20,15
20130308,21,20
20130308,22,13
20130308,23,5
20130307,0,18
20130307,1,6
20130307,2,9
20130307,3,5
20130307,4,6
20130307,5,4
20130307,6,1
20130307,7,8
20130307,8,7
20130307,9,13
20130307,10,18
20130307,11,16
20130307,12,7
20130307,13,25
20130307,14,26
20130307,15,17
20130307,16,15
20130307,17,46
20130307,18,25
20130307,19,21
20130307,20,26
20130307,21,21
20130307,22,14
20130307,23,145
20130306,0,9
20130306,1,7
20130306,2,6
20130306,3,1
20130306,4,4
